WKT,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,FONTE,VIATURA,DP,TALAO,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,TIPO_PLAC1,TIPO_PLAC2,TIPO_PLAC3,TIPO_ACIDE,Mapinfo_1,Mapinfo_2
"POINT (-46.6139420119289 -23.5816753660932)",D011500093,17083,,400,,2015/01/10 00:00:00,1940,2,D,,06,259,,,11000000000000000,0100,SU1,33,0114,17083,,MO,AU,,CL,400 17083,
"POINT (-46.6226533261201 -23.5715930308832)",D011500094,11922,,920,,2015/01/21 00:00:00,1300,2,D,,06,319,,,10000000000100000,0100,SU1,14,0114,11922,,AU,CM,,CF,920 11922,
"POINT (-46.6357505190084 -23.5793026677608)",D011500095,10908,,313,,2015/01/10 00:00:00,1410,2,D,,06,332,,,10001000000000000,0100,SU1,92,0114,10908,,BI,AU,,CO,313 10908,
"POINT (-46.6276882144065 -23.5842062685935)",D011500096,11922,09410,,,2015/01/26 00:00:00,1800,2,D,,06,376,,,11000000000000000,0100,SU1,92,0114,09410,11922,MO,AU,,CO,09410&&11922,
"POINT (-46.6317661649859 -23.5904403368739)",D011500097,07383,19583,,,2015/01/30 00:00:00,0745,2,D,,06,438,,,11000000000000000,0100,SU1,92,0114,07383,19583,MO,AU,,CO,19583&&07383,
"POINT (-46.6097317095144 -23.5773349061951)",D011500098,18563,,80,,2015/01/25 00:00:00,0638,2,D,,06,482,,,20000000000000000,0100,SU1,33,0115,18563,,AU,AU,,CO,80 18563,
"POINT (-46.6181067711815 -23.5844364080548)",D011500099,17083,,1000,,2015/01/18 00:00:00,0655,4,D,,06,484,,,00000000000000010,0100,SU1,92,0115,17083,,SI,,,AT,1000 17083,
"POINT (-46.6276874525564 -23.5783455269545)",D011500100,05886,,10,,2015/01/21 00:00:00,2130,2,D,,06,567,,,11000000000000000,0100,SU1,92,0115,05886,,AU,MO,,CO,10 05886,
"POINT (-46.6112420821009 -23.6090991460134)",D011500101,19583,,7353,,2015/01/17 00:00:00,0500,4,D,,06,573,,,10000000000000000,0100,SU1,33,0115,19583,,AU,,,AT,7353 19583,
"POINT (-46.6307725917866 -23.5634281813118)",D011500102,15201,,348,,2015/01/24 00:00:00,0113,2,D,,06,620,,,11000000000000000,0100,SU1,49,0115,15201,,MO,AU,,CL,348 15201,
"POINT (-46.6110138072284 -23.5699013785559)",D011500103,15967,,527,,2015/01/16 00:00:00,1740,2,D,,06,716,,,01000000000000000,0100,SU1,33,0115,15967,,MO,,,QM,527 15967,
"POINT (-46.6083320345807 -23.5688327788644)",D011500104,06642,,6894,,2015/01/02 00:00:00,2000,2,D,,08,45,,,01000000000100000,0100,SU1,33,0116,06642,,CM,MO,,CF,6894 06642,
"POINT (-46.606126110716 -23.5550165370376)",D011500105,10135,14213,,,2015/01/15 00:00:00,1140,2,D,,08,74,,,00100000000000000,0100,SE1,54,0116,10135,14213,ON,,,QD,14213&&10135,
"POINT (-46.5856403007 -23.5431611225865)",D011500106,00543,,4272,,2015/01/07 00:00:00,2157,2,D,,08,184,,,01000000000000010,0100,SE1,08,0116,00543,,SI,MO,,CO,4272 00543,
