WKT,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,TIPO_ACIDE
"POINT (-46.6627874162751 -23.6230753472681)",D121400306,03048,16329,,,2014/12/12,2338,2,,,10000001000000000,0100,SO2,15,0211,03048,16329,CF
"POINT (-46.6669597085463 -23.6413645972201)",D121400307,04596,,590,,2014/12/13,1140,2,,,11000000000000000,0100,SU2,15,0211,04596,,CL
"POINT (-46.6572796319664 -23.6125249257059)",D121400308,11415,35829,,,2014/12/14,1004,2,,,00000000000100000,0100,SU2,53,0211,11415,35829,CH
"POINT (-46.6491591970145 -23.6222583781484)",D121400309,04676,18570,,,2014/12/15,1135,2,,,11000000000000000,0100,SU2,79,0211,04676,18570,CO
"POINT (-46.6493733610685 -23.6190040617622)",D121400310,09334,00251,,,2014/12/03,1040,2,,,20000000000000000,0100,SU2,79,0212,00251,09334,CL
"POINT (-46.674487290788 -23.614788729916)",D121400311,19179,,1809,,2014/12/16,0938,4,,,00000000000100000,0100,SO2,15,0212,19179,,AT
"POINT (-46.682368646906 -23.6317097391377)",D121400312,26500,,777,,2014/12/16,1230,2,,,21000000000000000,0100,SO2,72,0212,26500,,CT
"POINT (-46.682388834926 -23.6192815193462)",D121400313,31498,00999,,,2014/12/17,0024,2,,,11000000000000000,0100,SO2,34,0212,00999,31498,CL
"POINT (-46.6638071992841 -23.6395970403101)",D121400314,24507,02472,,,2014/12/17,1900,2,,,11000000000000000,0100,SU2,15,0212,02472,24507,CF
"POINT (-46.6467265896368 -23.6297670800698)",D121400315,19100,,7500,,2014/12/19,1803,4,,,01000000000000000,0200,PB,79,0212,19100,,AT
"POINT (-46.6695721518288 -23.6357184112955)",D121400316,19931,,5000,,2014/12/11,1700,2,C,,11000000000000000,0100,SU2,15,0212,19931,,CO
"POINT (-46.6702181896502 -23.6361447189367)",D121400317,19931,,4921,,2014/12/28,1311,2,B,,01000000000000000,0100,SU2,15,0212,19931,,CH
"POINT (-46.6844048235889 -23.63020661844)",D121400318,26500,,500,,2014/12/30,0550,2,,,10001000000000000,0100,SO2,72,0213,26500,,CO
"POINT (-46.6606786415889 -23.6084757694384)",D121400319,09899,14531,,,2014/12/30,1855,2,,,10000001000000000,0100,SO1,53,0213,09899,14531,CO
"POINT (-46.6695721518288 -23.6357184112955)",D121400320,19931,,5000,,2014/12/15,1600,2,,,11000000000000000,0100,SU2,15,0213,19931,,SI
"POINT (-46.6847997977659 -23.6231278142137)",D121400321,10586,,237,,2014/12/19,1600,2,,,01000000000100000,0100,SO2,15,0213,10586,,CO
"POINT (-46.6414018786673 -23.6431270667013)",D121400322,02235,,1750,,2014/12/05,0900,2,,,01000000000100000,0100,SU2,37,0214,02235,,CO
"POINT (-46.6481866997274 -23.6628279607462)",D121400323,17320,,10,,2014/12/02,1900,2,,,01000000000000010,0100,SU2,37,0214,17320,,CF
"POINT (-46.6609559395367 -23.6498776087282)",D121400324,04596,03585,,,2014/12/20,0730,4,,,10000000000000000,0100,SU2,37,0214,03585,04596,AT
"POINT (-46.6561911762173 -23.6658251277236)",D121400325,06248,,395,,2014/12/20,2100,2,,,11000000000000000,0100,SU2,22,0214,06248,,CO
"POINT (-46.6659171062489 -23.6424666399999)",D121400326,04596,,761,,2014/12/01,0630,2,,,11000000000000000,0100,SU2,37,0214,04596,,CO
"POINT (-46.6438633152953 -23.6318976932913)",D121400327,41928,,169,,2014/12/02,0710,2,,,11000000000000000,0100,SU2,37,0214,41928,,CO
"POINT (-46.6288286385292 -23.6254504257467)",D121400328,00066,07019,,,2014/12/08,1240,2,,,21000000000000000,0100,SU1,27,0214,00066,07019,CO
"POINT (-46.6411340394132 -23.6366074877539)",D121400329,02235,03841,,,2014/12/10,0910,4,,,10000000000000000,0100,SU2,37,0214,02235,03841,AT
"POINT (-46.6275712064172 -23.6299564398202)",D121400330,13915,,1935,,2014/12/12,0620,2,B,,11000000000000000,0100,SU1,27,0215,13915,,CO
"POINT (-46.6579556281724 -23.6530877002875)",D121400331,09878,04596,,,2014/12/12,1500,2,,,01000000000100000,0100,SU2,37,0215,04596,09878,CO
"POINT (-46.409544783113 -23.533704055683)",D121400332,01830,08732,,,2014/12/13,1330,2,,,20000000000000000,0100,LE3,47,0215,01830,08732,CO
"POINT (-46.6433392682635 -23.6400807113955)",D121400333,07882,19907,,,2014/12/23,1000,4,,,10000000000000000,0100,SU2,37,0215,07882,19907,AT
"POINT (-46.6238628569368 -23.6294918711354)",D121400334,18221,,540,,2014/12/24,1115,2,,,00000000000100000,0100,SU1,27,0215,18221,,TB
"POINT (-46.661145152671 -23.6495300889249)",D121400335,04596,,1675,,2014/12/26,1240,4,,,01000000000000000,0100,SU2,37,0215,04596,,AT
"POINT (-46.6531518208077 -23.6417764746415)",D121400336,11423,,156,,2014/12/26,1200,2,,,10000001000000000,0100,SU2,37,0215,11423,,CL
"POINT (-46.6481176938438 -23.6628132532275)",D121400337,03186,,10,,2014/12/01,1530,2,,,10000000000000010,0100,SU2,37,0215,03186,,CO
"POINT (-46.6549975214737 -23.6632057844371)",D121400338,06248,,20,,2014/12/07,1130,2,,,11000000000000000,0100,SU2,37,0215,06248,,CO
"POINT (-46.6575891729838 -23.6512812606817)",D121400339,26095,,294,,2014/12/14,1315,2,,,10000000000000000,0100,SU2,37,0215,26095,,CH
"POINT (-46.6710985346266 -23.6379255419228)",D121400340,04596,04798,,,2014/12/15,1120,2,,,11000000000000000,0100,SU2,15,0216,04596,04798,CO
"POINT (-46.6371150972151 -23.6297230762742)",D121400341,36098,,2446,,2014/12/06,1149,2,,,10000000000100000,0100,SU2,79,0216,36098,,SI
"POINT (-46.6434926362132 -23.6337119034167)",D121400342,02235,,345,,2014/12/07,0800,2,C,,01000001000000000,0100,SU2,37,0216,02235,,CT
"POINT (-46.6518097483961 -23.654355052387)",D121400343,15378,05218,,,2014/12/09,1846,4,,,01000000000000000,0100,SU2,37,0216,05218,15378,AT
"POINT (-46.6615627657188 -23.659789053797)",D121400344,14246,,644,,2014/12/13,1030,4,,,10000000000000000,0100,SU2,37,0216,14246,,AT
"POINT (-46.6403393379271 -23.6469887827071)",D121400345,02235,05197,,,2014/12/20,0640,2,,,10000000000000000,0100,SU2,37,0216,02235,05197,CH
"POINT (-46.628792622725 -23.6255496850372)",D121400346,07019,,28,,2014/12/25,0923,2,,,20000000000000000,0100,SU1,27,0216,07019,,CL
"POINT (-46.6651550650031 -23.6437578240876)",D121400347,04596,,861,,2014/12/26,2248,2,,,11000000000000000,0200,SU2,37,0216,04596,,CO
"POINT (-46.6624447024645 -23.6445128416969)",D121400348,15660,06724,,,2014/12/27,1225,4,,,10000000000000000,0100,SU2,37,0217,06724,15660,AT
"POINT (-46.6581487991907 -23.6527421279978)",D121400349,04596,,2211,,2014/12/10,1710,2,,,11000000000000000,0100,SU2,37,0217,04596,,CO
"POINT (-46.6449885479498 -23.6328813407687)",D121400350,02235,41928,,,2014/12/29,1738,2,,,20000000000000000,0100,SU2,37,0217,02235,41928,CT
"POINT (-46.409544783113 -23.533704055683)",D121400351,19764,,10000,,2014/12/05,1400,2,,,10000000000100100,0100,LE3,47,0218,19764,,CT
"POINT (-46.650432893422 -23.5828868027486)",D121400352,10639,,546,,2014/12/05,1230,4,B,,00100000000000000,0100,SU2,53,0218,10639,,AT
"POINT (-46.6440663062212 -23.5802477700982)",D121400353,15124,,1270,,2014/12/08,1455,2,,,20000000000000000,0100,SU2,92,0218,15124,,CL
