WKT,Cadlog,Id_acident,Cadloga,Cadlogb,Alt_num,Referencia,Data,Hora,Cod_acid,Fonte,Viatura,Dp,Talao,Sentido,Pista,Veiculos,Vitimas,Dec,Distrito,Folha,Princ_a,Princ_b,Placa1,Tipo_plac1,Placa2,Tipo_plac2,Placa3,Tipo_plac3,Tipo_acide,Flag_dupl,Nv_dupl,Duplacas,Dia
"POINT (-46.568533 -23.583187)",,D011101189,24338,,2600,,2011/01/22,0647,2,D,,56,564,,,20000000000000000,0300,VP,26,0516,24338,,EQV2127,AU,COH4511,AU,,,CT,,,,
"POINT (-46.586599 -23.584373)",,D011101190,24338,,650,,2011/01/22,1443,2,D,,56,581,,,01000000000100000,0200,VP,26,0517,24338,,DJU7551,MO,ETO1607,CM,,,CO,,,,
"POINT (-46.582063 -23.580019)",,D011101191,15047,16573,,,2011/01/30,1601,2,D,,56,843,,,11000000000000000,0100,MO,01,0517,15047,16573,DGT6884,MO,EGT6087,AU,,,CO,,,,
"POINT (-46.597548 -23.586629)",,D011101192,22127,,,SRVIADUTO,2011/01/05,0130,2,D,,56,1013,,,10000000000100000,0300,VP,18,0517,22127,,CPO7520,AU,EEM7055,CM,,,CO,,,,
"POINT (-46.584355 -23.584415)",,D011101193,24338,08955,,,2011/01/18,1650,2,D,,56,1496,,,10010000000000000,0100,VP,95,0517,08955,24338,CZU3523,AU,LUU4861,CA,,,CT,,,,
"POINT (-46.590619 -23.563946)",,D011101194,15034,,1334,,2011/01/06,1810,2,D,,57,49,,,11000000000000000,0100,MO,16,0518,15034,,DHJ8471,MO,DWL5656,AU,,,CO,,,,
"POINT (-46.544695 -23.565528)",,D011101196,05539,,37,,2011/01/05,0923,4,D,,58,025,,,10000000000000000,0100,MO,87,0519,05539,,DDO2169,AU,,,,,AT,,,,
"POINT (-46.540129 -23.573301)",,D011101198,14196,,2626,,2011/01/20,0915,2,D,,58,133,,,01000000000000000,0100,MO,46,0519,14196,,JQC0264,MO,,,,,QM,,,,
"POINT (-46.55015 -23.559731)",,D011101199,02749,08444,,,2011/01/26,1850,2,D,,58,158,,,01000000000000000,0100,MO,87,0519,02749,08444,BRU4790,MO,,,,,QM,,,,
"POINT (-46.537725 -23.570217)",,D011101201,15237,,614,,2011/01/20,1545,2,D,,58,550,,,11000000000000000,0100,MO,46,0519,15237,,EJG1123,MO,BIA2939,AU,,,CF,,,,
"POINT (-46.54205 -23.568198)",,D011101202,02171,,367,,2011/01/23,1640,2,D,,58,636,,,20000000000000000,0200,MO,46,0519,02171,,CNS2136,AU,EQV2212,AU,,,CF,,,,
